rebal_date,turnover_rate,stocks_added,stocks_dropped,cost_bps
2020-03-31,0.0,50,0,0.0
2020-06-30,0.06,3,3,0.6
2020-09-30,0.02,1,1,0.2
2020-12-31,0.04,2,2,0.4
2021-03-31,0.06,3,3,0.6
2021-06-30,0.02,1,1,0.2
2021-09-30,0.06,3,3,0.6
2021-12-31,0.04,2,2,0.4
2022-03-31,0.04,2,2,0.4
2022-06-30,0.06,3,3,0.6
2022-09-30,0.02,1,1,0.2
2022-12-30,0.06,3,3,0.6
2023-03-31,0.02,1,1,0.2
2023-06-30,0.04,2,2,0.4
2023-09-29,0.08,4,4,0.8
2023-12-29,0.04,2,2,0.4
2024-03-28,0.06,3,3,0.6
2024-06-28,0.04,2,2,0.4
2024-09-30,0.08,4,4,0.8
2024-12-31,0.06,3,3,0.6
2025-03-28,0.06,3,3,0.6
2025-06-30,0.04,2,2,0.4
2025-09-30,0.04,2,2,0.4
2025-12-30,0.06,3,3,0.6
